id,value,color
ALL.French.勒·柯布西耶、ALL.Swiss.W·博奥席耶等,3,#CCFF99
ALL.French.圣·埃克苏佩里,1,#CCFF99
ALL.French.圣埃克絮佩里,1,#CCFF99
ALL.French.圣埃克苏佩里,1,#CCFF99
ALL.French.埃曼努埃尔·吉贝尔编绘,4,#CCFF99
ALL.French.巴尔扎克,1,#CCFF99
ALL.French.布鲁诺·巴贝摄影,1,#CCFF99
ALL.French.帕斯卡尔·拉巴泰,1,#CCFF99
ALL.French.帕特里克·德韦弗文、ALL.French.让·弗朗索瓦·布翁克里斯蒂亚尼图,1,#CCFF99
ALL.French.托克维尔,1,#CCFF99
ALL.French.潘斯,3,#CCFF99
ALL.French.珍妮弗•耶基斯,1,#CCFF99
ALL.French.碧姬·拉贝、米歇尔·毕奇、绘画:ALL.French.雅克·阿扎姆,1,#CCFF99
ALL.French.米歇尔·福柯,2,#CCFF99
ALL.French.米歇尔·福柯、汪民安编,4,#CCFF99
ALL.French.罗兰·拉库尔布、比利时,2,#CCFF99
ALL.French.艾玛纽埃尔·勒巴热EmmanuelLepage,1,#CCFF99
ALL.French.艾蒂安·达沃多,1,#CCFF99
ALL.French.莫里哀,1,#CCFF99
ALL.French.西蒙娜·德·波伏瓦,1,#CCFF99
ALL.French.让-克劳德·弗洛克、Floc’h,1,#CCFF99
ALL.French.让·雅克·桑贝,1,#CCFF99
ALL.French.让•乔诺文、ALL.French.弗瑞德里克•拜克图,1,#CCFF99
ALL.French.费尔南·布罗代尔,1,#CCFF99
ALL.French.阿尔弗雷德·登克尔、ALL.Germany.汉斯-赫尔穆特·甘德、ALL.Germany.霍尔格·察博罗夫斯基主编,3,#CCFF99
ALL.French.阿尔贝·加缪,1,#CCFF99
ALL.French.墨比斯,5,#CCFF99
ALL.Poland.伊萨克•多伊彻,2,#FFCC99
ALL.Poland.亚历山德拉·米热林斯卡、丹尼尔·米热林斯基著,2,#FFCC99
ALL.Australia.彼得·哈里森,2,#FFCC99
ALL.Australia.格里高利·大卫·罗伯兹,1,#FFCC99
ALL.Ireland.叶芝编,2,#FF9999
ALL.Sweden.喜仁龙OsvaldSirén,1,#FF9999
ALL.Sweden.托马斯·特朗斯特罗姆,1,#FF9999
ALL.Sweden.波·R·汉伯格、ALL.Sweden.爱娃·艾瑞克松图,1,#FF9999
ALL.Swiss.费尔迪南·德·索绪尔,1,#FFCC99
ALL.America.A.T.马汉,1,#CCCCFF
ALL.America.A.司各特·伯格,1,#CCCCFF
ALL.America.AlanV.Oppenh,2,#CCCCFF
ALL.America.AndreiAlexandrescu,1,#CCCCFF
ALL.America.BrianW.Kernighan、ALL.America.DennisM.Ritchie,1,#CCCCFF
ALL.America.BruceEckel,3,#CCCCFF
ALL.America.CharlesPetzold,2,#CCCCFF
ALL.America.DavidFreedman、RobertPisani、RogerPurves、AniAdhikari,2,#CCCCFF
ALL.America.DonaldE.Knuth,1,#CCCCFF
ALL.America.ElynR.Saks,1,#CCCCFF
ALL.America.G.伽莫夫,1,#CCCCFF
ALL.America.GLORIAK.FIERO、孙有中,3,#CCCCFF
ALL.America.JohnW.Milnor,1,#CCCCFF
ALL.America.KennethH.Rosen,1,#CCCCFF
ALL.America.KyleSimpson,1,#CCCCFF
ALL.America.MichaelArtin,1,#CCCCFF
ALL.America.MichaelDawson,1,#CCCCFF
ALL.America.N.格里高利·曼昆,1,#CCCCFF
ALL.America.NicholasC.Zakas,1,#CCCCFF
ALL.America.R·柯朗H·罗宾著、I·斯图尔特修订,1,#CCCCFF
ALL.America.RonaldL.Graham、DonaldE.Knuth、OrenPatashnik,3,#CCCCFF
ALL.America.ThomasH.Cormen、CharlesE.Leiserson、RonaldL.Rivest、CliffordStein,2,#CCCCFF
ALL.America.ThomasM.Cove,2,#CCCCFF
ALL.America.W.爱德华兹,1,#CCCCFF
ALL.America.丹·西蒙斯,1,#CCCCFF
ALL.America.乔治.R.R.马丁,3,#CCCCFF
ALL.America.乔治·R.R.马丁,2,#CCCCFF
ALL.America.乔治·斯坦纳,9,#CCCCFF
ALL.America.乔纳森·克拉里,1,#CCCCFF
ALL.America.乔迪·邓肯,1,#CCCCFF
ALL.America.伊万娜·查伯克、IvanaChubbuck,1,#CCCCFF
ALL.America.侯世达,1,#CCCCFF
ALL.America.保罗·A.萨缪尔森,4,#CCCCFF
ALL.America.保罗·亨利·朗PaulHenyLang,2,#CCCCFF
ALL.America.克斯汀·唐尼,1,#CCCCFF
ALL.America.克莱门特·格林伯格,1,#CCCCFF
ALL.America.克里斯·梅森等,1,#CCCCFF
ALL.America.克雷格·莱特CraigWright,1,#CCCCFF
ALL.America.刘易斯·芒福ALL.Germany.宋俊岭,2,#CCCCFF
ALL.America.刘香成,1,#CCCCFF
ALL.America.利昂StevenJ.Leon,1,#CCCCFF
ALL.America.劳伦斯·利维LawrenceLevy,1,#CCCCFF
ALL.America.勒特尔、ALL.America.科瓦奇,1,#CCCCFF
ALL.America.卡尔·萨根,1,#CCCCFF
ALL.America.卡斯滕·哈里斯,1,#CCCCFF
ALL.America.卡罗·德斯特,1,#CCCCFF
