查良铮/译林出版社/1991-03/39.80元,9.3,53,,,,,
列·安德列耶夫/陆义年、张业民/漓江出版社/1981/1.26,9.3,53,,,,,
（捷克）约瑟夫·拉达/刘星灿/湖南少年儿童出版社/1989.1./3.40,9.3,71,,,,,
董宏猷/二十一世纪出版社/1998-05/15.00,9.3,79,,,,,
DavidFosterWallace/BackBayBooks/1997-2-1/USD19.95,9.3,82,,,,,
钟基、李先银、王身钢译注/中华书局/2011-5/60.00元,9.3,90,,,,,
[美]马克·瑞比托/杨嘉辰/北京科学技术出版社/2016-9/89.00,9.3,128,,,,,
喻守真编注/中华书局/1957.11第2版1980.8北京第8次印刷/1.05,9.3,134,,,,,
[波]伊萨克•多伊彻/王国龙、周任辛、施用勤等/中央编译出版社/2013-2/258.00元,9.3,154,,,,,
(美)艾诺·洛贝尔/潘人木、党英台/明天出版社/2009-6-1/52.80元,9.3,179,,,,,
[英国]安德鲁·朗格/周仁义、顾之敏等/少年儿童出版社/1991-11/21.00元,9.3,202,,,,,
[唐]李贺、[清]王琦等注/上海古籍出版社/1978-4/1.35元,9.3,203,,,,,
刘亮程/上海文艺出版社/2001-1/21.00元,9.3,251,,,,,
（美）简・克莱格海德/罗素菁/中国少年儿童出版社/1998-08/9.50,9.3,294,,,,,
葛景春选注/中华书局/2005-11/20.00元,9.3,295,,,,,
陈寅恪/生活·读书·新知三联书店/2001-4/30.00元,9.3,312,,,,,
鲁迅/北京燕山出版社/2010-3/28.00元,9.3,384,,,,,
[俄]费·陀思妥耶夫斯基/臧仲伦/译林出版社/2002-5/36.50元,9.3,666,,,,,
顾青编注/中华书局/2009-07/19.00元,9.3,762,,,,,
叶嘉莹/中华书局/2007-1/49.00元,9.3,881,,,,,
安房直子/彭懿/二十一世纪出版社/1999年08月/6.4元,9.3,987,,,,,
[晉]郭璞傳、廣陵書社編/廣陵書社/2003-8/90.00元,9.3,1039,,,,,
(唐)王冰注/王冰注解/中医古籍出版社/2003-11/30.00元,9.3,1200,,,,,
萨缪尔·P.亨廷顿/王冠华、刘为/上海人民出版社/2008/42.00元,9.3,1215,,,,,
[明]王阳明撰/于自力、孔薇、杨骅骁/中州古籍出版社/2008-1/32.00元,9.3,1430,,,,,
汪曾祺/人民文学出版社/2005-8-1/25.00元,9.3,1620,,,,,
老舍/北京十月文艺出版社/2008-07/36.00元,9.3,5344,,,,,
富樫義博、YoshhiroTogashi/蘇錦明/集英社授權天下出版/1995,9.3,5433,,,,,
[丹麦]金·弗珀兹·艾克松/文、[瑞典]爱娃·艾瑞克松/图/彭懿/湖北美术出版社/2007-12/23.00元,9.3,8234,,,,,
蘅塘退士、陈婉俊/中华书局/1984-07-01/0.65,9.3,9008,,,,,
[英]山姆·麦克布雷尼文、安妮塔·婕朗图/梅子涵/少年儿童出版社/2005-4/29.80元,9.3,9513,,,,,
[英]山姆·麦克布雷尼文、安妮塔·婕朗图/梅子涵/少年儿童出版社/2005-4/29.80元,9.3,9513,,,,,
錢穆/商務印書館/2013-8/76.00元,9.3,9636,,,,,
[美]乔治·R.R.马丁/谭光磊、屈畅/重庆出版社/2005-5/68.00元,9.3,23340,,,,,
[英]乔治·奥威尔/董乐山/上海译文出版社/2006-8/13.00元,9.3,24307,,,,,
[英]乔治·奥威尔/董乐山、傅惟慈/上海译文出版社/2003-4/23.00元,9.3,24925,,,,,
[英]乔治·奥威尔/刘绍铭/北京十月文艺出版社/2010-4-1/28.00,9.3,41625,,,,,
[英]乔治·奥威尔/刘绍铭/北京十月文艺出版社/2010-4-1/28.00,9.3,41625,,,,,
[英]乔治·奥威尔/刘绍铭/北京十月文艺出版社/2010-4-1/28.00,9.3,41625,,,,,
[美国]玛格丽特·米切尔/李美华/译林出版社/2000-9/40.00元,9.3,79970,,,,,
[美国]玛格丽特·米切尔/李美华/译林出版社/2000-9/40.00元,9.3,79972,,,,,
[美国]玛格丽特·米切尔/李美华/译林出版社/2000-9/40.00元,9.3,79972,,,,,
[美]尼克·詹斯著/范冬丽/重庆出版社/2017-6/39.80元,9.2,12,,,,,
冯其庸/江西教育/2000-8/280.00元,9.2,37,,,,,
胡适/海南出版社/2016-10/38,9.2,43,,,,,
[日]中勘助/林皎碧/中信出版社/2017-6/29.80元,9.2,45,,,,,
显克微支等/施蛰存、吴朗西、冰心、季羡林、赵少侯、唐季雍、巫宁坤、海观、冯汉津、桂裕芳、方平、董乐山、主万等等/浙江人民出版社/1981-5/2.64,9.2,114,,,,,
[荷]威尔•海根文、[荷]瑞安•普特伍里叶图/潘人木、林良/贵州人民出版社/2011-10/68.00元,9.2,127,,,,,
安立奎./趙德明/大塊/2005年05月30日/NT$250,9.2,138,,,,,
简·奥斯汀/世界图书出版公司/2009-3/58.00元,9.2,140,,,,,
CleanthBrooks、RobertPennWarren/外语教学与研究出版社/2004-11-1/53.90元,9.2,145,,,,,
王小波/浙江文艺出版社/2016-2/39.00元,9.2,149,,,,,
