文学,小说,尘埃落定,阿来/人民文学出版社/1998-3-1/22.0,8.4,30388\u4eba\u8bc4\u4ef7
文学,小说,在路上,[美]杰克·凯鲁亚克/王永年/上海译文出版社/2006-10/28.00元,7.8,38863\u4eba\u8bc4\u4ef7
文学,小说,大裂,胡迁/九州出版社/2017-1-1/35.00元,7.7,1402\u4eba\u8bc4\u4ef7
文学,小说,呐喊,鲁迅/人民文学出版社/1973年3月/0.36元,8.8,37657\u4eba\u8bc4\u4ef7
文学,小说,如何阅读一本小说,[美]托马斯·福斯特/梁笑/南海出版公司/2015-4/39.5,8.0,1521\u4eba\u8bc4\u4ef7
文学,小说,洗澡,杨绛/人民文学出版社/2004-01/16.00,8.2,13071\u4eba\u8bc4\u4ef7
文学,小说,猫城记,老舍/人民文学出版社/2008-11/12.00元,8.6,2131\u4eba\u8bc4\u4ef7
文学,小说,摆渡人,[英]克莱儿·麦克福尔/付强/百花洲文艺出版社/2015-6-1/36.00,6.3,43846\u4eba\u8bc4\u4ef7
文学,小说,少年巴比伦,路内/重庆出版社/2008-8/22.00元,8.6,6504\u4eba\u8bc4\u4ef7
文学,小说,俗世奇人,冯骥才/作家出版社/2008-12/18.00元,8.6,6564\u4eba\u8bc4\u4ef7
文学,小说,汪曾祺小说经典,汪曾祺/人民文学出版社/2005-8-1/25.00元,9.3,1620\u4eba\u8bc4\u4ef7
文学,小说,铁皮鼓,[德]格拉斯/胡其鼎/上海译文出版社/2006-8/20.00元,8.6,3554\u4eba\u8bc4\u4ef7
文学,小说,梦中的欢快葬礼和十二个异乡故事,[哥伦比亚]加西亚·马尔克斯/罗秀/南海出版公司/2015-5-1/35.00元,8.7,2534\u4eba\u8bc4\u4ef7
文学,小说,采桑子,叶广芩/北京出版社/2009-1/32.00元,9.0,2763\u4eba\u8bc4\u4ef7
文学,小说,漫长的告别,[美]雷蒙德·钱德勒/宋碧云/新星出版社/2008-2/25.00,8.1,8761\u4eba\u8bc4\u4ef7
文学,小说,约翰·克利斯朵夫,（法）罗曼·罗兰/傅雷/人民文学出版社/1957-1-1/74.00元,8.7,9198\u4eba\u8bc4\u4ef7
文学,小说,我是个年轻人 我心情不太好,(挪威)阿澜·卢/宁蒙/浙江文艺出版社/2013-1-1/28.80元,7.5,9163\u4eba\u8bc4\u4ef7
文学,小说,小姨多鹤,严歌苓/作家出版社/2008-4/28.00元,8.6,16722\u4eba\u8bc4\u4ef7
文学,小说,沙之书,(阿根廷)博尔赫斯/王永年/上海译文出版社/2015-7/26.00,9.1,1313\u4eba\u8bc4\u4ef7
文学,小说,罗生门,[日]芥川龙之介/林少华/上海译文出版社/2008-7/12.00元,8.6,14882\u4eba\u8bc4\u4ef7
文学,小说,温柔的叹息,[日]青山七惠/竺家荣/上海译文出版社/2010-1/20.00元,7.7,13718\u4eba\u8bc4\u4ef7
文学,小说,癌症楼,[俄罗斯]亚历山大·索尔仁尼琴/姜明河/译林出版社/2007-8/29.50元,8.9,1480\u4eba\u8bc4\u4ef7
文学,小说,静默,[法]维罗妮克·普兰/袁筱一/新星出版社/2016-10/32.00元,7.8,485\u4eba\u8bc4\u4ef7
文学,小说,Flipped,WendelinVanDraanen/KnopfBooksforYoungReaders/2001-10-9/USD16.99,9.1,2739\u4eba\u8bc4\u4ef7
文学,小说,2001太空漫游,[英]阿瑟·克拉克/郝明义/上海人民出版社/2007-11/28.00元,9.1,3906\u4eba\u8bc4\u4ef7
